시점,sido,행정구역(시군구)별,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2023,경기도,시흥시,514060.5,18532,25975,26480,24754.5,29765.5,35381.5,37168.5,38641,48424,43998.5,47849.5,43012,37043,22777.5,12843.5,9024.5,12390,7073,5317,3667,1294.5,306,49.5
2023,경기도,군포시,262606.5,6726.5,9587,11697.5,12669,15540.5,18675.5,19174.5,17037.5,19676.5,20362,24449,22227,22798.5,15874.5,9134.5,6897,10079.5,5419.5,4660,3212,1140,264,44
2023,경기도,의왕시,158844.5,5068.5,6710,6702,6841.5,9291,11076.5,11649.5,10895,11779,11180,14120.5,13894,14037.5,10267.5,5776,3994.5,5561.5,3034,2527.5,1691.5,655,157.5,23.5
2023,경기도,하남시,326734.5,12695.5,18704.5,17332.5,13654.5,15335,21061.5,24750,27109,33430.5,26739,25565.5,21702.5,22743.5,18059.5,11695,7715,8441.5,4823.5,3618,2433,921,224.5,39.5
2023,경기도,용인시,1070219,32322.5,52004.5,61197.5,59356.5,65322,67969.5,64613,69444,94970.5,96123.5,100723.5,77825,67725.5,51998,37778.5,31344.5,39500.5,22949,16551.5,11543.5,3995,878,135
2023,경기도,처인구,259455,7006,10832.5,12510.5,12263,15750,17330.5,15982,16193.5,21358,21267,23556,21377,20953,15490,10127,7452.5,10006.5,5582.5,4424,3053,1092.5,248,30.5
2023,경기도,기흥구,435419.5,13118,21142,25419,24852.5,27324,28045.5,25723.5,27408.5,38887,39742,42070,31337.5,26284.5,20147,14964,12794.5,16160,9369,6791,4719.5,1644,360,67.5
2023,경기도,수지구,375344.5,12198.5,20030,23268,22241,22248,22593.5,22907.5,25842,34725.5,35114.5,35097.5,25110.5,20488,16361,12687.5,11097.5,13334,7997.5,5336.5,3771,1258.5,270,37
2023,경기도,파주시,494451,16539,24668,27015.5,24665.5,26440.5,31105.5,33323.5,35943.5,43475.5,40471,44346,36483,34390.5,25493,16521,13769.5,19800.5,11355,8445.5,5873,2049.5,455,68
2023,경기도,이천시,221661,6409.5,9637,10908.5,11070,12576,16934.5,15684,14600.5,17409,17169.5,18751,17144.5,17626.5,12827,8166.5,6025.5,8721.5,4884.5,3837,2738.5,872.5,197.5,28.5
2023,경기도,안성시,188165.5,4573.5,7128,8787,8647.5,10814.5,11499,10703,10967.5,14760,14588,16795,15475.5,16318.5,12708.5,8415.5,6390,9594.5,5216,4378.5,3091,1050.5,204,33
