"시군구별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
"부산진구","계","50-54세",27414,27789,27730,27250,26284,25220,24221,23563,23926,24529,25193,25557,25186,24102,22884,21744,20803,20467,20518,20626,21181
"부산진구","계","55-59세",26781,26440,27226,27562,27954,28316,28457,28049,27329,26230,25100,24113,23502,23865,24460,25123,25449,25038,23917,22662,21485
"부산진구","계","60-64세",30819,31036,30076,29105,27691,27114,26571,27183,27394,27660,27933,28022,27593,26880,25816,24725,23793,23219,23577,24167,24827
"부산진구","계","65-69세",25256,26627,28155,28809,30195,30244,30263,29253,28162,26728,26159,25653,26331,26589,26867,27142,27220,26792,26105,25087,24043
"부산진구","계","70-74세",18757,19410,19951,21424,22993,24142,25332,26680,27285,28589,28623,28681,27771,26779,25481,25003,24577,25281,25570,25858,26137
"부산진구","계","75-79세",13079,13585,14478,15433,16421,17112,17663,18123,19500,20946,22030,23159,24448,25096,26383,26473,26592,25791,24924,23796,23409
"부산진구","계","80-84세",9762,10518,10650,10816,10468,10809,11245,11988,12791,13566,14186,14709,15150,16424,17682,18674,19681,20820,21480,22687,22809
"부산진구","계","85-89세",4318,4601,5148,5622,6049,6602,7132,7187,7292,7013,7318,7711,8285,8880,9382,9865,10296,10653,11678,12607,13368
"부산진구","계","90-94세",1319,1371,1537,1774,1980,2185,2366,2650,2878,3077,3365,3631,3653,3730,3561,3785,4053,4382,4713,4950,5251
"부산진구","계","95세이상",249,284,321,352,392,464,510,576,662,741,831,896,1008,1098,1181,1309,1410,1433,1476,1415,1555
"동래구","계","계",267611,266303,263732,262503,261615,261031,260683,260511,260069,259393,258505,257426,256165,254743,253193,251513,249690,247725,245629,243430,241138
"동래구","계","0 - 4세",7639,7058,6464,6075,5767,5535,5454,5510,5665,5876,6061,6215,6337,6426,6491,6535,6547,6514,6448,6350,6226
"동래구","계","5 - 9세",11921,11450,10891,10156,9382,8725,8224,7703,7275,6908,6624,6499,6537,6701,6933,7132,7293,7416,7506,7569,7615
"동래구","계","10 - 14세",12670,12815,12771,13091,12989,12893,12490,12109,11324,10461,9696,9079,8441,7936,7499,7182,7049,7088,7266,7511,7714
"동래구","계","15 - 19세",11324,11770,11618,11771,12259,12502,12588,12740,13085,12998,12876,12397,11903,11026,10124,9343,8721,8083,7584,7152,6859
"동래구","계","20-24세",13493,12159,11863,11104,10547,10559,10908,10801,11004,11421,11605,11635,11711,11940,11764,11570,11012,10495,9640,8821,8126
"동래구","계","25-29세",15736,15064,14104,13630,13239,12566,11799,11571,10757,10191,10060,10194,9992,10120,10378,10477,10447,10451,10569,10332,10082
"동래구","계","30-34세",15255,15341,15349,15477,15515,15101,14792,14251,13991,13625,12936,12185,11801,10875,10276,10033,10086,9872,9969,10152,10238
"동래구","계","35-39세",16821,15755,15414,15431,15483,16030,16483,16756,16922,16988,16627,16286,15709,15419,14973,14210,13407,12900,11904,11239,10922
"동래구","계","40-44세",21558,21871,21250,20099,18931,17905,17091,16939,17013,17132,17679,18123,18388,18523,18576,18222,17835,17228,16906,16400,15563
"동래구","계","45-49세",21061,20478,19969,20324,20985,21698,22004,21737,20682,19554,18509,17649,17413,17433,17523,18021,18451,18714,18835,18884,18541
"동래구","계","50-54세",22665,22869,22179,21699,20804,19889,19400,19153,19637,20350,21045,21276,20924,19844,18730,17704,16865,16631,16634,16711,17174
"동래구","계","55-59세",20382,20006,20665,20767,21040,21218,21170,20775,20428,19631,18828,18389,18104,18522,19148,19757,19928,19561,18525,17482,16516
"동래구","계","60-64세",22882,22806,21652,20554,19449,19148,18809,19591,19757,20076,20264,20234,19850,19496,18711,17953,17526,17218,17592,18152,18700
"동래구","계","65-69세",19235,19948,20757,20967,21715,21507,21551,20658,19823,18880,18651,18341,19080,19234,19545,19719,19698,19331,18969,18193,17464
"동래구","계","70-74세",14119,14690,15106,16209,17202,17952,18634,19494,19853,20708,20621,20751,19944,19195,18322,18112,17816,18530,18683,18990,19156
"동래구","계","75-79세",9605,10018,10756,11465,12334,12802,13329,13726,14801,15774,16529,17209,18058,18461,19322,19290,19459,18736,18085,17311,17140
"동래구","계","80-84세",6682,7322,7592,7875,7620,8002,8369,8999,9620,10320,10741,11229,11591,12574,13437,14127,14743,15516,15943,16766,16768
"동래구","계","85-89세",3221,3418,3727,3994,4330,4777,5215,5395,5586,5388,5722,6017,6506,6977,7453,7802,8195,8488,9290,9960,10513
"동래구","계","90-94세",1086,1188,1308,1473,1653,1797,1903,2083,2249,2446,2700,2940,3017,3105,2971,3203,3400,3708,3996,4222,4453
"동래구","계","95세이상",256,277,297,342,371,425,470,520,597,666,731,778,859,936,1017,1121,1212,1245,1285,1233,1368
"남구","계","계",259788,257378,257801,255795,253115,249963,246430,242606,239097,235829,232747,229808,226960,224174,221419,218659,215884,213046,210142,207213,204282
"남구","계","0 - 4세",5672,5079,4852,4567,4330,4131,4022,4012,4111,4249,4372,4475,4556,4620,4667,4700,4709,4685,4635,4563,4471
"남구","계","5 - 9세",9747,9117,8593,7819,6974,6385,5850,5398,5001,4683,4438,4323,4331,4446,4592,4723,4829,4913,4975,5018,5050
"남구","계","10 - 14세",10816,10653,10647,10653,10475,9979,9393,8730,7909,7039,6439,5895,5453,5062,4755,4529,4429,4447,4568,4720,4852
"남구","계","15 - 19세",11325,11225,11040,10932,11039,11158,11065,10962,10931,10738,10221,9651,9015,8224,7373,6767,6210,5761,5359,5046,4822
"남구","계","20-24세",20224,20109,19384,17881,16564,15926,15485,15031,14899,15008,15134,14997,14937,14941,14684,14102,13457,12695,11741,10715,9953
"남구","계","25-29세",17377,17661,17865,18155,17904,16947,15958,15005,13889,13021,12692,12582,12406,12354,12537,12675,12539,12477,12439,12196,11687
"남구","계","30-34세",13312,13892,14629,14768,14933,14684,14379,13953,13743,13270,12478,11791,11150,10361,9732,9530,9490,9358,9338,9519,9612
"남구","계","35-39세",14195,13267,13117,13312,13353,13687,14087,14164,14024,14022,13678,13345,12939,12728,12285,11605,10987,10415,9704,9107,8918
