시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
진천군,계,95세 이상,101,122,134,144,160,175,203,237,273,310,339,361,397,414,429,463,484,490,497
괴산군,계,계,36896,37272,37596,37921,38241,38551,38866,39175,39478,39770,40050,40320,40573,40818,41023,41202,41360,41471,41567
괴산군,계,0 - 4세,409,420,368,378,354,349,355,366,384,401,416,428,439,447,454,454,450,442,431
괴산군,계,5 - 9세,755,734,727,669,609,503,488,421,426,396,400,404,419,438,454,466,479,489,496
괴산군,계,10 - 14세,851,817,863,885,895,887,796,760,682,624,536,529,462,472,442,448,455,470,490
괴산군,계,15 - 19세,822,904,944,883,905,985,924,961,961,962,934,853,826,750,692,611,600,527,535
괴산군,계,20 - 24세,2455,1954,1639,1474,1208,1260,1367,1384,1340,1382,1424,1370,1414,1383,1371,1327,1238,1195,1093
괴산군,계,25 - 29세,1766,1762,1690,1638,1641,1471,1318,1251,1185,1045,1105,1114,1097,1072,1117,1125,1094,1123,1078
괴산군,계,30 - 34세,992,1076,1106,1176,1279,1301,1297,1258,1251,1231,1110,1060,1009,948,849,898,863,864,853
괴산군,계,35 - 39세,1199,1143,1115,1102,1076,1089,1163,1182,1239,1288,1282,1264,1229,1220,1185,1098,1060,996,935
괴산군,계,40 - 44세,1494,1504,1548,1512,1451,1358,1280,1245,1237,1223,1246,1312,1328,1378,1402,1392,1378,1342,1332
괴산군,계,45 - 49세,1750,1781,1717,1696,1769,1842,1824,1847,1781,1706,1610,1526,1491,1481,1476,1510,1571,1594,1648
괴산군,계,50 - 54세,2745,2846,2760,2769,2669,2517,2495,2374,2350,2415,2483,2488,2512,2427,2329,2208,2099,2044,2032
괴산군,계,55 - 59세,3754,3633,3862,3827,3810,3794,3874,3769,3755,3622,3461,3412,3264,3256,3332,3412,3444,3468,3349
괴산군,계,60 - 64세,4924,4928,4873,4850,4703,4747,4595,4844,4826,4848,4880,4964,4859,4830,4667,4489,4402,4225,4223
